ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
728,1228459,Active,113931,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,West 164 Street,S,Ft. Washington Avenue,Broadway,40.83858899,-73.94218136,1000248.672,244803.2093,POINT (-73.942181358048 40.838588994893)
14539,2263008,Retired,203491,2 HR Pas Mon-Sat 0900-2200,,On Street,Bronx,West 237 Street,N,Dead End,Broadway,40.88430993,-73.90070494,1011706.492,261471.3977,POINT (-73.900704942609 40.884309927457)
12311,4063119,Active,468927,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Sanford Avenue,N,Main Street,Frame Place,40.75632584,-73.82965368,1031443.833,214872.4817,POINT (-73.82965367539 40.756325836937)
12101,1433250,Active,104618,1HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 55 Street,N,3 Avenue,Lexington Avenue,40.75912242,-73.96875931,992904.7609,215847.0234,POINT (-73.968759314439 40.759122419418)
4019,3043017,Active,336842,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Flatbush Avenue,W,Parkside Avenue,Woodruff Avenue,40.65505557,-73.9598373,995393.8527,177933.345,POINT (-73.959837304424 40.655055565247)
7111,5023049,Active,510381,2 HR Pas Mon-Sat 0800-1900,,On Street,Staten Island,Hyatt Street,S,St. Marks Place,Central Avenue,40.64168406,-74.07748212,962746.9042,173068.6926,POINT (-74.077482117875 40.641684057371)
9595,1443235,Retired,102216,3HR Com Mon-Sat 0800-2400,,On Street,Manhattan,West 33 Street,N,7 Avenue,8 Avenue,40.75127102,-73.99324631,986121.2282,212985.0311,POINT (-73.993246311317 40.751271016594)
12491,2303012,Active,222225,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Metropolitan Avenue,E,Yankee Mall,Parkchester Road,40.83679305,-73.86068149,1022801.07,244174.2578,POINT (-73.860681491321 40.836793053788)
9183,1323057,Active,106376,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Hudson Street,W,Charlton Street,King Street,40.72769773,-74.00735392,982211.7465,204396.5493,POINT (-74.007353918641 40.727697729164)
10499,1453099,Active,105464,3HR Com Mon-Sat 0800-1800,,On Street,Manhattan,East 19 Street,S,Park Avenue South,Broadway,40.73806333,-73.98906081,987281.4965,208173.1677,POINT (-73.989060807486 40.738063334105)
12124,1473125,Active,106608,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,3 Avenue,W,East 11 Street,East 10 Street,40.73094588,-73.98903362,987289.3551,205580.0551,POINT (-73.98903362115 40.730945876127)
12885,4433015,Active,454921,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Union Turnpike,N,186 Street,185 Street,40.72859295,-73.78337568,1044289.948,204796.8598,POINT (-73.783375680941 40.728592953098)
8983,1133069,Active,108278,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,East 23 Street,S,1 Avenue,Avenue C,40.73619473,-73.97711758,990591.4102,207493.0152,POINT (-73.977117584959 40.736194729854)
1224,4072228,Active,418470,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Broadway,N,43 Street,42 Street,40.75807631,-73.91694294,1007260.066,215475.2574,POINT (-73.916942935409 40.758076311198)
126,1068263,Active,110902,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Sherman Avenue,E,Thayer Street,Dyckman Street,40.86333292,-73.92641632,1004603.355,253821.6315,POINT (-73.926416315748 40.863332919764)
3403,4313007,Active,456742,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,86 Drive,S,94 Street,Woodhaven Boulevard,40.69417268,-73.85161973,1025396.581,192217.1228,POINT (-73.851619728526 40.694172680362)
3660,4303015,Active,419335,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,219 Street,E,Jamaica Avenue,94 Drive,40.7184711,-73.73620883,1057373.858,201145.0207,POINT (-73.736208831022 40.71847109875)
9953,1443504,Active,105678,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,West 27 Street,S,Broadway,Avenue of the Americas,40.74466395,-73.98929459,987216.416,210577.9726,POINT (-73.989294591025 40.744663946894)
13133,4063039,Active,449721,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Northern Boulevard,S,147 Street,149 Street,40.76525106,-73.81762644,1034769.16,218130.9339,POINT (-73.817626441528 40.765251058015)
11657,1083033,Active,111484,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 70 Street,West 69 Street,40.77657526,-73.98230656,989150.4167,222204.6226,POINT (-73.982306559236 40.776575256963)
8741,1023091,Active,105685,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Rivington Street,N,Clinton Street,Suffolk Street,40.71919877,-73.98533598,988314.8793,201300.3698,POINT (-73.985335984799 40.719198767172)
5980,3283015,Active,301589,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,,On Street,Brooklyn,Roebling Street,W,S 9 Street,Division Avenue,40.7079031,-73.96118334,995011.8387,197187.0597,POINT (-73.961183342369 40.707903101493)
2809,4013120,Active,419182,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,48 Avenue,S,45 Street,46 Street,40.73928479,-73.91976902,1006483.4,208628.176,POINT (-73.919769021083 40.739284791853)
8930,1133016,Retired,105329,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,Avenue A,W,East 6 Street,East 4 Street,40.72516981,-73.98428311,988606.3463,203475.8539,POINT (-73.984283112385 40.725169806592)
8971,1133057,Active,105017,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 4 Street,N,2 Avenue,1 Avenue,40.72539473,-73.987438,987731.8756,203557.6602,POINT (-73.987437997733 40.725394732353)
11683,1083052,Active,110546,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,West 79 Street,N,Broadway,Amsterdam Avenue,40.78353129,-73.97901247,990062.1472,224739.1421,POINT (-73.979012473521 40.783531289938)
2218,2323213,Active,205313,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Morris Park Avenue,S,Hunts Avenue,Holland Avenue,40.8454605,-73.86455796,1021723.523,247330.4457,POINT (-73.864557963958 40.845460496752)
11758,1083080,Active,114237,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 87 Street,West 86 Street,40.78881792,-73.97629119,990815.2401,226665.4329,POINT (-73.976291189993 40.788817916029)
968,1294854,Active,109426,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,York Avenue,W,East 82 Street,East 81 Street,40.77300173,-73.94938364,998269.5776,220906.2206,POINT (-73.949383637724 40.773001725202)
